task_id,section_id,department,defect_type,severity,reported_date,due_date,days_overdue,estimated_duration_hours,required_crews,required_machinery,safety_risk_flag,punctuality_impact_score,is_emergency,notes
TSK-S&T-0001,SEC-001,S&T,Electronic Interlocking (EI) Card Redundancy Fault,Critical,2026-08-20,2026-08-24,22,2.0,2,EI Diagnostics Kit,True,94.0,False,Generated synthetic maintenance order for Electronic Interlocking (EI) Card Redundancy Fault
TSK-ENG-0002,SEC-012,Engineering,Turnout / Switch Diamond Tongue Rail Wear,Critical,2026-09-09,2026-09-11,4,4.5,2,Point Inspection Trolley,True,85.0,False,Generated synthetic maintenance order for Turnout / Switch Diamond Tongue Rail Wear
TSK-TRA-0003,SEC-001,Traction,25kV OHE Contact Wire Parting / Dropper Snapped,Critical,2026-09-10,2026-09-13,2,2.5,2,OHE Tower Wagon,True,92.0,False,Generated synthetic maintenance order for 25kV OHE Contact Wire Parting / Dropper Snapped
TSK-S&T-0004,SEC-001,S&T,OFC Cable Low Optical Margin / Splicing Maintenance,Major,2026-08-26,2026-09-05,10,3.5,1,OTDR Splicing Machine,False,45.0,False,Generated synthetic maintenance order for OFC Cable Low Optical Margin / Splicing Maintenance
TSK-S&T-0005,SEC-009,S&T,Track Lead Cable Insulation Degradation,Minor,2026-08-30,2026-09-16,0,2.0,1,Megger Insulation Tester,False,35.0,False,Generated synthetic maintenance order for Track Lead Cable Insulation Degradation
TSK-S&T-0006,SEC-001,S&T,Point Machine Clamplock Obstruction & Setting,Major,2026-08-19,2026-08-28,18,2.5,1,Point Test Meter,True,75.0,False,Generated synthetic maintenance order for Point Machine Clamplock Obstruction & Setting
TSK-TRA-0007,SEC-005,Traction,Neutral Section PTFE Assembly Inspection & Adjustment,Major,2026-09-08,2026-09-18,0,2.5,1,OHE Tower Wagon,True,70.0,False,Generated synthetic maintenance order for Neutral Section PTFE Assembly Inspection & Adjustment
TSK-ENG-0008,SEC-007,Engineering,IMR (Immediate Removal) Rail Fracture Risk,Critical,2026-09-09,2026-09-13,2,3.5,2,AFTD / Rail Welder,True,95.0,False,Generated synthetic maintenance order for IMR (Immediate Removal) Rail Fracture Risk
TSK-S&T-0009,SEC-001,S&T,Point Machine Clamplock Obstruction & Setting,Major,2026-08-20,2026-09-03,12,2.5,1,Point Test Meter,True,75.0,False,Generated synthetic maintenance order for Point Machine Clamplock Obstruction & Setting
TSK-ENG-0010,SEC-002,Engineering,Fishplate Bolt Loose / Missing at Glued Joint,Major,2026-08-26,2026-09-06,9,3.0,1,Torque Wrench Unit,True,60.0,False,Generated synthetic maintenance order for Fishplate Bolt Loose / Missing at Glued Joint
TSK-S&T-0011,SEC-006,S&T,Automatic Block Signalling (ABS) Relay Overhaul,Major,2026-08-25,2026-09-04,11,3.0,1,Relay Testing Kit,True,65.0,False,Generated synthetic maintenance order for Automatic Block Signalling (ABS) Relay Overhaul
TSK-ENG-0012,SEC-011,Engineering,IMR (Immediate Removal) Rail Fracture Risk,Critical,2026-09-05,2026-09-09,6,3.0,2,AFTD / Rail Welder,True,95.0,False,Generated synthetic maintenance order for IMR (Immediate Removal) Rail Fracture Risk
TSK-ENG-0013,SEC-002,Engineering,Track De-stressing (LWR/CWR thermal adjustment),Major,2026-08-31,2026-09-11,4,3.5,2,Rail Tensor,True,70.0,False,Generated synthetic maintenance order for Track De-stressing (LWR/CWR thermal adjustment)
TSK-S&T-0014,SEC-006,S&T,Automatic Block Signalling (ABS) Relay Overhaul,Major,2026-09-07,2026-09-19,0,2.5,1,Relay Testing Kit,True,65.0,False,Generated synthetic maintenance order for Automatic Block Signalling (ABS) Relay Overhaul
TSK-ENG-0015,SEC-005,Engineering,Cess Clearing and Drainage Deep Screening,Minor,2026-08-21,2026-09-18,0,2.5,1,BRM Machine,False,30.0,False,Generated synthetic maintenance order for Cess Clearing and Drainage Deep Screening
TSK-S&T-0016,SEC-010,S&T,Electronic Interlocking (EI) Card Redundancy Fault,Critical,2026-08-23,2026-08-26,20,3.0,2,EI Diagnostics Kit,True,94.0,False,Generated synthetic maintenance order for Electronic Interlocking (EI) Card Redundancy Fault
TSK-S&T-0017,SEC-003,S&T,Digital Axle Counter (DAC) Track Circuit Dropping,Critical,2026-08-29,2026-09-03,12,2.0,1,DAC Signal Analyzer,True,90.0,False,Generated synthetic maintenance order for Digital Axle Counter (DAC) Track Circuit Dropping
TSK-S&T-0018,SEC-009,S&T,Track Lead Cable Insulation Degradation,Minor,2026-09-05,2026-09-29,0,2.0,1,Megger Insulation Tester,False,35.0,False,Generated synthetic maintenance order for Track Lead Cable Insulation Degradation
TSK-ENG-0019,SEC-001,Engineering,Turnout / Switch Diamond Tongue Rail Wear,Critical,2026-08-18,2026-08-22,24,4.0,2,Point Inspection Trolley,True,85.0,False,Generated synthetic maintenance order for Turnout / Switch Diamond Tongue Rail Wear
TSK-TRA-0020,SEC-004,Traction,25kV OHE Contact Wire Parting / Dropper Snapped,Critical,2026-08-25,2026-08-29,17,2.5,2,OHE Tower Wagon,True,92.0,False,Generated synthetic maintenance order for 25kV OHE Contact Wire Parting / Dropper Snapped
TSK-S&T-0021,SEC-007,S&T,LED Signal Aspect Failure on Home Signal,Major,2026-08-23,2026-09-06,9,1.0,1,Aspect Measurement Unit,True,80.0,False,Generated synthetic maintenance order for LED Signal Aspect Failure on Home Signal
TSK-TRA-0022,SEC-004,Traction,OHE Insulator Flashover / Heavy Flashing,Critical,2026-08-20,2026-08-24,22,3.0,1,Ladder Trolley,True,88.0,False,Generated synthetic maintenance order for OHE Insulator Flashover / Heavy Flashing
TSK-S&T-0023,SEC-010,S&T,LED Signal Aspect Failure on Home Signal,Major,2026-08-31,2026-09-12,3,1.0,1,Aspect Measurement Unit,True,80.0,False,Generated synthetic maintenance order for LED Signal Aspect Failure on Home Signal
TSK-ENG-0024,SEC-008,Engineering,Sleeper Replacement on Approach Bridge,Major,2026-09-10,2026-09-17,0,3.5,2,Crane / Dip-Lorry,False,55.0,False,Generated synthetic maintenance order for Sleeper Replacement on Approach Bridge
TSK-ENG-0025,SEC-003,Engineering,Cess Clearing and Drainage Deep Screening,Minor,2026-08-18,2026-09-11,4,2.0,1,BRM Machine,False,30.0,False,Generated synthetic maintenance order for Cess Clearing and Drainage Deep Screening
TSK-S&T-0026,SEC-007,S&T,Electronic Interlocking (EI) Card Redundancy Fault,Critical,2026-08-31,2026-09-05,10,3.0,2,EI Diagnostics Kit,True,94.0,False,Generated synthetic maintenance order for Electronic Interlocking (EI) Card Redundancy Fault
TSK-TRA-0027,SEC-001,Traction,Traction Substation Interrupter Overhaul,Major,2026-08-22,2026-08-30,16,3.5,2,Substation Testing Kit,False,60.0,False,Generated synthetic maintenance order for Traction Substation Interrupter Overhaul
TSK-S&T-0028,SEC-005,S&T,Automatic Block Signalling (ABS) Relay Overhaul,Major,2026-08-19,2026-08-31,15,2.0,1,Relay Testing Kit,True,65.0,False,Generated synthetic maintenance order for Automatic Block Signalling (ABS) Relay Overhaul
TSK-TRA-0029,SEC-003,Traction,OHE Cantilever Height & Stagger Adjustment,Major,2026-08-29,2026-09-05,10,2.5,1,OHE Tower Wagon,False,50.0,False,Generated synthetic maintenance order for OHE Cantilever Height & Stagger Adjustment
TSK-S&T-0030,SEC-009,S&T,Point Machine Clamplock Obstruction & Setting,Major,2026-08-19,2026-08-28,18,2.5,1,Point Test Meter,True,75.0,False,Generated synthetic maintenance order for Point Machine Clamplock Obstruction & Setting
TSK-ENG-0031,SEC-011,Engineering,Track De-stressing (LWR/CWR thermal adjustment),Major,2026-09-03,2026-09-13,2,3.0,2,Rail Tensor,True,70.0,False,Generated synthetic maintenance order for Track De-stressing (LWR/CWR thermal adjustment)
TSK-TRA-0032,SEC-003,Traction,Earth Bonding / Jumper Wire Replacement,Minor,2026-08-26,2026-09-21,0,2.5,1,Manual Bonding Kit,False,25.0,False,Generated synthetic maintenance order for Earth Bonding / Jumper Wire Replacement
TSK-ENG-0033,SEC-006,Engineering,Sleeper Replacement on Approach Bridge,Major,2026-08-28,2026-09-04,11,3.5,2,Crane / Dip-Lorry,False,55.0,False,Generated synthetic maintenance order for Sleeper Replacement on Approach Bridge
TSK-TRA-0034,SEC-005,Traction,Earth Bonding / Jumper Wire Replacement,Minor,2026-09-05,2026-09-19,0,1.5,1,Manual Bonding Kit,False,25.0,False,Generated synthetic maintenance order for Earth Bonding / Jumper Wire Replacement
TSK-S&T-0035,SEC-002,S&T,Electronic Interlocking (EI) Card Redundancy Fault,Critical,2026-08-20,2026-08-25,21,2.0,2,EI Diagnostics Kit,True,94.0,False,Generated synthetic maintenance order for Electronic Interlocking (EI) Card Redundancy Fault
TSK-S&T-0036,SEC-003,S&T,Automatic Block Signalling (ABS) Relay Overhaul,Major,2026-09-08,2026-09-22,0,3.0,1,Relay Testing Kit,True,65.0,False,Generated synthetic maintenance order for Automatic Block Signalling (ABS) Relay Overhaul
TSK-ENG-0037,SEC-009,Engineering,Ballast Tamping & Track Packing (High Unevenness),Major,2026-08-16,2026-08-29,17,2.5,1,CSM Tamping Machine,False,65.0,False,Generated synthetic maintenance order for Ballast Tamping & Track Packing (High Unevenness)
TSK-S&T-0038,SEC-012,S&T,Automatic Block Signalling (ABS) Relay Overhaul,Major,2026-08-21,2026-08-31,15,3.0,1,Relay Testing Kit,True,65.0,False,Generated synthetic maintenance order for Automatic Block Signalling (ABS) Relay Overhaul
TSK-TRA-0039,SEC-011,Traction,OHE Cantilever Height & Stagger Adjustment,Major,2026-08-23,2026-09-04,11,2.0,1,OHE Tower Wagon,False,50.0,False,Generated synthetic maintenance order for OHE Cantilever Height & Stagger Adjustment
TSK-S&T-0040,SEC-002,S&T,LED Signal Aspect Failure on Home Signal,Major,2026-09-05,2026-09-15,0,1.0,1,Aspect Measurement Unit,True,80.0,False,Generated synthetic maintenance order for LED Signal Aspect Failure on Home Signal
TSK-TRA-0041,SEC-010,Traction,25kV OHE Contact Wire Parting / Dropper Snapped,Critical,2026-08-26,2026-08-29,17,3.5,2,OHE Tower Wagon,True,92.0,False,Generated synthetic maintenance order for 25kV OHE Contact Wire Parting / Dropper Snapped
TSK-ENG-0042,SEC-002,Engineering,IMR (Immediate Removal) Rail Fracture Risk,Critical,2026-08-21,2026-08-23,23,3.0,2,AFTD / Rail Welder,True,95.0,False,Generated synthetic maintenance order for IMR (Immediate Removal) Rail Fracture Risk
TSK-ENG-0043,SEC-006,Engineering,IMR (Immediate Removal) Rail Fracture Risk,Critical,2026-09-10,2026-09-13,2,3.5,2,AFTD / Rail Welder,True,95.0,False,Generated synthetic maintenance order for IMR (Immediate Removal) Rail Fracture Risk
TSK-S&T-0044,SEC-004,S&T,LED Signal Aspect Failure on Home Signal,Major,2026-08-26,2026-09-04,11,2.0,1,Aspect Measurement Unit,True,80.0,False,Generated synthetic maintenance order for LED Signal Aspect Failure on Home Signal
TSK-S&T-0045,SEC-008,S&T,OFC Cable Low Optical Margin / Splicing Maintenance,Major,2026-09-05,2026-09-19,0,3.0,1,OTDR Splicing Machine,False,45.0,False,Generated synthetic maintenance order for OFC Cable Low Optical Margin / Splicing Maintenance
TSK-ENG-0046,SEC-002,Engineering,IMR (Immediate Removal) Rail Fracture Risk,Critical,2026-08-22,2026-08-27,19,3.5,2,AFTD / Rail Welder,True,95.0,False,Generated synthetic maintenance order for IMR (Immediate Removal) Rail Fracture Risk
TSK-TRA-0047,SEC-008,Traction,OHE Cantilever Height & Stagger Adjustment,Major,2026-08-16,2026-08-23,23,2.5,1,OHE Tower Wagon,False,50.0,False,Generated synthetic maintenance order for OHE Cantilever Height & Stagger Adjustment
